Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACCS,ACCESS Newswire Inc. Common Stock,$10.15,0.32,3.255%,39054591.00,United States,,10795,Consumer Discretionary,Publishing
ACU,Acme United Corporation. Common Stock,$39.68,0.00,0.00%,150414540.00,United States,1988,14145,Consumer Discretionary,Industrial Machinery/Components
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,$5.54,-0.01,-0.18%,594788250.00,United States,,140417,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$0.82,0.0902,12.36%,9270401.00,United States,,650019,Health Care,Biotechnology: Pharmaceutical Preparations
AIRI,Air Industries Group Common Stock,$3.38,-0.06,-1.744%,12723121.00,United States,,14309,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$4.645,0.00,0.00%,257471658.00,,,124,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$2.62,-0.14,-5.072%,7483705.00,China,,9398,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$2.36,-0.0005,-0.021%,15222000.00,United States,1988,3452,Health Care,Medical Specialities
AMZE,Amaze Holdings Inc. Common Stock,$0.3033,0.0093,3.163%,5257120.00,,2021,194421,Consumer Staples,Beverages (Production/Distribution)
APT,Alpha Pro Tech Ltd. Common Stock,$4.56,-0.07,-1.512%,49539849.00,Canada,2000,40422,Health Care,Industrial Specialties
APUS,Apimeds Pharmaceuticals US Inc. Common Stock,$1.93,0.03,1.579%,22341647.00,,2025,33747,Health Care,Biotechnology: Pharmaceutical Preparations
AREN,The Arena Group Holdings Inc. Common Stock,$5.57,0.51,10.079%,264914503.00,United States,2022,143947,Technology,EDP Services
ARMN,Aris Mining Corporation Common Shares,$6.30,-0.46,-6.805%,1122030000.00,,2023,3901017,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$1.98,0.02,1.02%,71663088.00,United States,,7298,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$3.57,0.01,0.281%,516815759.00,Canada,,6342547,Basic Materials,Metal Mining
ATCH,AtlasClear Holdings Inc. Common Stock,$0.2124,-0.0076,-3.455%,3312794.00,,2024,2921185,Finance,Finance: Consumer Services
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$1.83,0.14,8.284%,57088481.00,United States,,336408,Health Care,Biotechnology: Pharmaceutical Preparations
AUST,Austin Gold Corp. Common Shares,$1.53,-0.0777,-4.833%,20305778.00,,2022,65081,Basic Materials,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$2.45,0.00,0.00%,9553606.00,United States,1998,8044,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$5.59,-0.46,-7.603%,37172673.00,,2024,22712,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.2751,0.0006,0.219%,4532645.00,,2023,229892,Health Care,Biotechnology: Pharmaceutical Preparations
BATL,Battalion Oil Corporation Common Stock,$1.34,0.0136,1.025%,22051794.00,United States,,6971,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$18.505,0.174,0.949%,0.00,United States,1972,13838,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$22.0156,0.1056,0.482%,,United States,,820,,
BDL,Flanigan's Enterprises Inc. Common Stock,$33.20,1.80,5.732%,61707080.00,United States,1972,4096,Consumer Discretionary,Restaurants
BGI,Birks Group Inc. Common Stock,$0.8304,-0.0496,-5.636%,15915421.00,Canada,,15453,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$29.16,0.69,2.424%,446782609.00,United States,1997,31019,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$12.70,0.23,1.844%,51713155.00,,2022,6212,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,$44.53,0.78,1.783%,163585141.00,United States,,23734,Technology,Radio And Television Broadcasting And Communications Equipment
BMNR,BitMine Immersion Technologies Inc. Common Stock,$7.545,-0.205,-2.645%,14964602.00,,2025,240394,Finance,Finance: Consumer Services
BQ,Boqii Holding Limited American Depositary Shares (each representing one hundred fifty (150) Class A Ordinary Shares),$2.45,0.41,20.098%,2625249.00,,,145951,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$3.42,0.03,0.885%,311828244.00,United States,,167405,Finance,Major Banks
BRIA,BrilliA Inc Class A Ordinary Shares,$2.5478,0.1278,5.281%,78026375.00,,2024,5370,Consumer Discretionary,Apparel
BRN,Barnwell Industries Inc. Common Stock,$1.2495,0.0595,5.00%,12561891.00,United States,1965,1489,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$3.67,-0.06,-1.609%,4849438323.00,Canada,,62427013,Basic Materials,Precious Metals
BURU,Nuburu Inc. Common Stock,$0.3642,-0.0449,-10.975%,19099867.00,United States,,22211405,Miscellaneous,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.095,0.015,1.389%,11336631.00,Israel,,74082,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$3.32,0.20,6.41%,246438069.00,United States,,1404701,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$5.19,0.2509,5.08%,41946405.00,United States,2022,17847,Health Care,Misc Health and Biotechnology Services
CET,Central Securities Corporation Common Stock,$47.38,0.25,0.53%,11467153976.00,United States,1951,24215,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$9.565,-0.065,-0.675%,67276145.00,United States,1999,18079,Finance,Finance/Investors Services
CHEB,Chenghe Acquisition II Co. Class A Ordinary Shares,$9.30,-0.4999,-5.101%,0.00,,2024,31845,,
